contract,operationId,path,verb,state,siblingScreens,noScreenReason
platform-ops,skipRolloutCell,/rollouts/{rolloutId}/cells/{cellId}/skip,post,actionOnExistingScreen,getRollout | listRollouts,
promotions,updateBundle,/bundles/{bundleId},patch,actionOnExistingScreen,createBundle | getBundle,
promotions,assignCoupon,/coupon-codes/{code}/assign,post,actionOnExistingScreen,getCouponCode | voidCouponCode,
promotions,setPromotionVariants,/promotions/{promotionId}/variants,put,actionOnExistingScreen,analysePromotionConflicts | createPromotion,
promotions,recordRecommendationOutcome,/recommendations/outcomes,post,actionOnExistingScreen,explainRecommendation | getRecommendations,
promotions,createUpsellRule,/upsell-rules,post,actionOnExistingScreen,listUpsellRules,
promotions,deleteUpsellRule,/upsell-rules/{ruleId},delete,actionOnExistingScreen,listUpsellRules,
queue,submitQueueReading,/queue-feeds/readings,post,embeddedClient,configureQueueFeed | getQueueFeedHealth,
queue,getSignageQueueBoard,/signage/queue-board,get,embeddedClient,,
queue,getSignageQueueCalls,/signage/queue-calls,get,embeddedClient,,
queue,overrideWaitingGuest,/waiting-guests/{entryId}/override,post,actionOnExistingScreen,getWaitingGuest | joinQueue,
queue,redeemWaitingGuest,/waiting-guests/{entryId}/redeem,post,actionOnExistingScreen,getWaitingGuest | joinQueue,
rental,importRentalCatalogue,/rental-products/import,post,actionOnExistingScreen,createRentalProduct | getRentalProduct,
reporting,updateReportSchedule,/report-schedules/{scheduleId},patch,actionOnExistingScreen,createReportSchedule | listReportSchedules,
reporting,deleteReportSchedule,/report-schedules/{scheduleId},delete,actionOnExistingScreen,createReportSchedule | listReportSchedules,
retail,createShopAndDrop,/shop-and-drop,post,actionOnExistingScreen,lookupShopAndDrop,
retail,collectShopAndDrop,/shop-and-drop/{dropId}/collect,post,actionOnExistingScreen,lookupShopAndDrop,
retail,disposeShopAndDrop,/shop-and-drop/{dropId}/dispose,post,actionOnExistingScreen,lookupShopAndDrop,
subscription,resolveInvoiceDispute,/invoices/{invoiceId}/resolve-dispute,post,actionOnExistingScreen,cancelInvoice | disputeInvoice,
subscription,registerPartner,/partner-registrations,post,machineToMachine,,
subscription,setPlanTiers,/plans/{planId}/tiers,put,actionOnExistingScreen,createPlan | createPlanVersion,
subscription,recordUsage,/usage-records,post,machineToMachine,,
tenancy,issueDeviceCredential,/devices/{deviceId}/credentials,post,actionOnExistingScreen,enrolDevice | getDeviceTelemetry,
tenancy,revokeDeviceCredential,/devices/{deviceId}/credentials,delete,actionOnExistingScreen,enrolDevice | getDeviceTelemetry,
venue-map,acceptWalkwayProposals,/venue-maps/{mapId}/walkway-proposals,post,actionOnExistingScreen,acceptVenueLabelProposals | createVenueMap,
wallet,adjustGameCard,/game-cards/{cardCode}/adjust,post,actionOnExistingScreen,loadGameCredits,
wallet,blockGiftCard,/gift-cards/{cardCode}/block,post,actionOnExistingScreen,activateGiftCard | getGiftCard,
wallet,closeWallet,/wallets/{walletId}/close,post,actionOnExistingScreen,adjustWallet | getWallet,
wallet,reinstateWallet,/wallets/{walletId}/reinstate,post,actionOnExistingScreen,adjustWallet | getWallet,
wallet,suspendWallet,/wallets/{walletId}/suspend,post,actionOnExistingScreen,adjustWallet | getWallet,
white-label,publishContentBlock,/content-blocks/{blockId}/publish,post,actionOnExistingScreen,createContentBlock,
white-label,createBanner,/tenant-config/banners,post,actionOnExistingScreen,createContentPage | createPreview,
white-label,updateBanner,/tenant-config/banners/{bannerId},patch,actionOnExistingScreen,createContentPage | createPreview,
white-label,deleteBanner,/tenant-config/banners/{bannerId},delete,actionOnExistingScreen,createContentPage | createPreview,
white-label,setFeatureToggles,/tenant-config/features,put,actionOnExistingScreen,createContentPage | createPreview,
white-label,setHeader,/tenant-config/header,put,actionOnExistingScreen,createContentPage | createPreview,
white-label,setModuleEnablement,/tenant-config/modules,put,actionOnExistingScreen,createContentPage | createPreview,
white-label,setNavigation,/tenant-config/navigation,put,actionOnExistingScreen,createContentPage | createPreview,
white-label,updateContentPage,/tenant-config/pages/{pageId},put,actionOnExistingScreen,createContentPage | createPreview,
white-label,deleteContentPage,/tenant-config/pages/{pageId},delete,actionOnExistingScreen,createContentPage | createPreview,
white-label,createPromoBlock,/tenant-config/promo-blocks,post,actionOnExistingScreen,createContentPage | createPreview,
white-label,updatePromoBlock,/tenant-config/promo-blocks/{promoBlockId},patch,actionOnExistingScreen,createContentPage | createPreview,
white-label,deletePromoBlock,/tenant-config/promo-blocks/{promoBlockId},delete,actionOnExistingScreen,createContentPage | createPreview,
white-label,setMaintenanceMode,/tenant-config/status,put,actionOnExistingScreen,createContentPage | createPreview,
workforce,startSync,/sync-runs,post,scheduledJob,,
